,student_id,date_purchased,purchase_type,purchase_id,total_purchases
267,261019,2022-01-22,Annual,1,1
268,261022,2022-01-20,Annual,1,1
269,261039,2022-01-20,Annual,1,1
270,261059,2022-01-23,Annual,1,1
271,261061,2022-01-20,Annual,1,1
272,261072,2022-01-20,Annual,1,1
273,261073,2022-01-20,Monthly,1,4
274,261073,2022-02-20,Monthly,1,4
275,261073,2022-03-20,Monthly,1,4
276,261073,2022-08-17,Monthly,1,4
277,261084,2022-01-20,Annual,1,1
278,261085,2022-01-22,Annual,1,1
279,261086,2022-01-20,Annual,1,1
280,261104,2022-03-31,Annual,1,1
281,261110,2022-01-21,Annual,1,1
282,261121,2022-01-22,Annual,1,1
283,261132,2022-01-21,Monthly,1,1
284,261138,2022-01-28,Annual,1,1
285,261158,2022-01-21,Annual,1,1
286,261171,2022-01-25,Annual,1,1
287,261173,2022-01-21,Annual,1,1
288,261177,2022-01-21,Annual,1,1
289,261183,2022-01-21,Annual,1,1
290,261184,2022-01-27,Annual,1,1
291,261189,2022-05-10,Monthly,1,1
292,261200,2022-03-29,Annual,1,1
293,261210,2022-01-22,Annual,1,1
294,261212,2022-01-22,Monthly,1,6
295,261212,2022-02-22,Monthly,1,6
296,261212,2022-03-22,Monthly,1,6
297,261212,2022-04-22,Monthly,1,6
298,261212,2022-05-22,Monthly,1,6
299,261212,2022-06-22,Monthly,1,6
300,261217,2022-01-22,Annual,1,1
301,261227,2022-01-22,Annual,1,1
302,261228,2022-01-22,Monthly,1,3
303,261228,2022-02-22,Monthly,1,3
304,261228,2022-03-22,Monthly,1,3
305,261239,2022-01-26,Annual,1,1
306,261241,2022-01-22,Annual,1,1
307,261263,2022-01-22,Annual,1,1
308,261268,2022-01-22,Monthly,1,1
309,261276,2022-01-22,Annual,1,1
310,261288,2022-01-23,Annual,1,1
311,261291,2022-01-25,Annual,1,1
312,261293,2022-01-23,Annual,1,1
313,261295,2022-01-23,Annual,1,1
314,261323,2022-01-27,Annual,1,1
315,261325,2022-03-17,Monthly,1,1
316,261333,2022-07-21,Annual,1,1
317,261337,2022-01-27,Annual,1,1
318,261349,2022-01-23,Annual,1,1
319,261359,2022-01-23,Annual,1,1
320,261367,2022-01-23,Annual,1,1
321,261374,2022-01-23,Annual,1,1
322,261389,2022-01-24,Annual,1,1
323,261390,2022-01-24,Annual,1,1
324,261393,2022-06-26,Annual,1,1
325,261408,2022-01-25,Annual,1,1
326,261412,2022-01-24,Annual,1,1
327,261417,2022-01-24,Annual,1,1
328,261446,2022-01-24,Annual,1,1
329,261452,2022-01-24,Annual,1,1
330,261455,2022-01-26,Monthly,1,1
331,261466,2022-01-29,Monthly,1,7
332,261466,2022-02-28,Monthly,1,7
333,261466,2022-03-28,Monthly,1,7
334,261466,2022-04-28,Monthly,1,7
335,261466,2022-05-28,Monthly,1,7
336,261466,2022-06-28,Monthly,1,7
337,261466,2022-07-28,Monthly,1,7
338,261483,2022-01-24,Annual,1,1
339,261490,2022-01-24,Annual,1,1
340,261491,2022-01-26,Monthly,1,9
341,261491,2022-02-26,Monthly,1,9
342,261491,2022-03-26,Monthly,1,9
343,261491,2022-04-26,Monthly,1,9
344,261491,2022-05-26,Monthly,1,9
345,261491,2022-06-26,Monthly,1,9
346,261491,2022-07-26,Monthly,1,9
347,261491,2022-08-26,Monthly,1,9
348,261491,2022-09-26,Monthly,1,9
349,261495,2022-01-24,Annual,1,1
350,261510,2022-01-26,Annual,1,1
351,261515,2022-01-25,Annual,1,1
352,261519,2022-01-27,Annual,1,1
353,261522,2022-01-27,Annual,1,1
354,261538,2022-01-25,Annual,1,1
355,261550,2022-01-26,Annual,1,1
356,261552,2022-01-25,Annual,1,1
357,261554,2022-02-07,Annual,1,1
358,261558,2022-01-25,Annual,1,1
359,261564,2022-04-25,Quarterly,1,2
360,261564,2022-07-25,Quarterly,1,2
361,261565,2022-01-25,Annual,1,1
362,261567,2022-01-25,Annual,1,1
363,261577,2022-01-25,Annual,1,1
364,261582,2022-03-28,Annual,1,1
365,261585,2022-01-26,Monthly,1,1
366,261589,2022-01-28,Annual,1,1
367,261590,2022-01-27,Annual,1,1
368,261593,2022-01-25,Annual,1,1
369,261603,2022-01-26,Annual,1,1
370,261607,2022-01-26,Annual,1,1
371,261608,2022-02-02,Quarterly,1,3
372,261608,2022-05-02,Quarterly,1,3
373,261608,2022-08-02,Quarterly,1,3
374,261610,2022-01-26,Annual,1,1
375,261619,2022-01-27,Annual,1,1
376,261621,2022-01-26,Annual,1,1
377,261626,2022-01-26,Annual,1,1
378,261633,2022-01-26,Annual,1,1
379,261644,2022-01-26,Annual,1,1
380,261647,2022-01-26,Annual,1,1
381,261654,2022-01-27,Annual,1,1
382,261658,2022-01-26,Annual,1,1
383,261661,2022-01-26,Annual,1,1
384,261662,2022-01-26,Annual,1,1
385,261668,2022-02-09,Monthly,1,2
386,261668,2022-03-08,Annual,1,2
387,261670,2022-01-26,Annual,1,1
388,261674,2022-01-26,Annual,1,1
389,261679,2022-01-26,Annual,1,1
390,261680,2022-03-17,Annual,1,1
391,261682,2022-01-27,Annual,1,1
392,261685,2022-01-26,Annual,1,1
393,261690,2022-01-26,Annual,1,1
394,261692,2022-02-01,Annual,1,1
395,261693,2022-05-28,Annual,1,1
396,261704,2022-01-27,Annual,1,1
397,261714,2022-01-27,Annual,1,1
398,261716,2022-08-01,Monthly,1,2
399,261716,2022-09-01,Monthly,1,2
400,261721,2022-01-27,Annual,1,1
401,261724,2022-01-27,Monthly,1,3
402,261724,2022-02-27,Monthly,1,3
403,261724,2022-03-25,Annual,1,3
404,261735,2022-01-27,Annual,1,1
405,261737,2022-01-27,Annual,1,1
406,261753,2022-03-07,Monthly,1,1
407,261755,2022-01-27,Annual,1,1
408,261756,2022-01-27,Annual,1,1
409,261758,2022-01-27,Annual,1,1
410,261766,2022-01-27,Annual,1,1
411,261768,2022-01-27,Annual,1,1
412,261771,2022-01-27,Annual,1,1
413,261773,2022-01-27,Monthly,1,1
414,261777,2022-01-27,Annual,1,1
415,261778,2022-01-27,Annual,1,1
416,261779,2022-01-27,Annual,1,1
417,261782,2022-01-27,Annual,1,1
418,261783,2022-01-27,Annual,1,1
419,261785,2022-01-27,Annual,1,1
420,261787,2022-01-28,Annual,1,1
421,261788,2022-05-21,Monthly,1,1
422,261789,2022-01-28,Annual,1,1
423,261790,2022-01-28,Annual,1,1
424,261791,2022-01-28,Annual,1,1
425,261796,2022-01-28,Annual,1,1
426,261801,2022-01-28,Annual,1,1
427,261802,2022-01-28,Annual,1,1
428,261805,2022-02-17,Annual,1,1
429,261808,2022-01-28,Annual,1,1
430,261809,2022-01-28,Annual,1,1
431,261810,2022-01-28,Annual,1,1
432,261813,2022-01-28,Annual,1,1
433,261816,2022-01-28,Annual,1,1
434,261817,2022-01-28,Annual,1,1
435,261819,2022-01-28,Annual,1,1
436,261820,2022-01-28,Annual,1,1
437,261822,2022-01-28,Annual,1,1
438,261825,2022-01-28,Annual,1,1
439,261828,2022-02-11,Monthly,1,6
440,261828,2022-03-11,Monthly,1,6
441,261828,2022-04-11,Monthly,1,6
442,261828,2022-05-11,Monthly,1,6
443,261828,2022-07-22,Monthly,1,6
444,261828,2022-08-22,Monthly,1,6
445,261883,2022-02-10,Monthly,1,5
446,261883,2022-03-10,Monthly,1,5
447,261883,2022-04-10,Monthly,1,5
448,261883,2022-05-10,Monthly,1,5
449,261883,2022-06-10,Monthly,1,5
450,261905,2022-02-02,Annual,1,1
451,261972,2022-07-22,Annual,1,1
452,261979,2022-01-31,Quarterly,1,1
453,261990,2022-03-25,Annual,1,1
454,261995,2022-01-30,Monthly,1,2
455,261995,2022-02-28,Monthly,1,2
456,262044,2022-03-29,Annual,1,1
457,262068,2022-01-31,Annual,1,1
458,262071,2022-01-31,Monthly,1,1
459,262112,2022-03-30,Annual,1,1
460,262119,2022-01-31,Annual,1,1
461,262148,2022-03-31,Annual,1,1
462,262190,2022-02-01,Monthly,1,3
463,262190,2022-03-01,Monthly,1,3
464,262190,2022-04-01,Monthly,1,3
465,262198,2022-02-01,Monthly,1,1
466,262203,2022-03-22,Annual,1,1
467,262221,2022-03-10,Quarterly,1,1
468,262224,2022-02-01,Annual,1,1
469,262237,2022-02-03,Annual,1,1
470,262260,2022-04-13,Monthly,1,5
471,262260,2022-05-13,Monthly,1,5
472,262260,2022-06-13,Monthly,1,5
473,262260,2022-07-13,Monthly,1,5
474,262260,2022-08-13,Monthly,1,5
475,262270,2022-02-19,Monthly,1,4
476,262270,2022-03-19,Monthly,1,4
477,262270,2022-04-19,Quarterly,1,4
478,262270,2022-05-27,Annual,1,4
479,262273,2022-02-01,Annual,1,1
480,262288,2022-02-01,Annual,1,1
481,262297,2022-02-01,Annual,1,1
482,262377,2022-02-09,Annual,1,1
483,262386,2022-03-30,Annual,1,1
484,262392,2022-02-02,Annual,1,1
485,262406,2022-02-03,Annual,1,1
486,262412,2022-02-22,Annual,1,1
487,262414,2022-02-03,Annual,1,1
488,262421,2022-02-03,Annual,1,5
489,262421,2022-03-03,Monthly,1,5
490,262421,2022-04-03,Monthly,1,5
491,262421,2022-05-03,Monthly,1,5
492,262421,2022-06-03,Monthly,1,5
493,262457,2022-02-14,Monthly,1,1
494,262459,2022-02-04,Annual,1,1
495,262470,2022-02-03,Annual,1,1
496,262487,2022-04-26,Annual,1,1
497,262550,2022-02-03,Annual,1,1
498,262569,2022-03-02,Monthly,1,4
499,262569,2022-06-27,Monthly,1,4
500,262569,2022-08-10,Monthly,1,4
501,262569,2022-09-10,Monthly,1,4
502,262580,2022-02-10,Monthly,1,2
503,262580,2022-03-30,Annual,1,2
504,262585,2022-02-03,Annual,1,1
505,262596,2022-02-06,Monthly,1,6
506,262596,2022-03-06,Monthly,1,6
507,262596,2022-04-06,Monthly,1,6
508,262596,2022-05-06,Monthly,1,6
509,262596,2022-06-06,Monthly,1,6
510,262596,2022-07-06,Monthly,1,6
511,262599,2022-02-04,Annual,1,1
512,262613,2022-02-06,Monthly,1,1
513,262634,2022-02-04,Annual,1,1
514,262641,2022-02-05,Annual,1,1
515,262643,2022-02-06,Quarterly,1,2
516,262643,2022-08-18,Monthly,1,2
517,262648,2022-02-04,Annual,1,1
518,262675,2022-02-06,Monthly,1,1
519,262677,2022-02-04,Annual,1,8
520,262677,2022-03-04,Monthly,1,8
521,262677,2022-04-04,Monthly,1,8
522,262677,2022-05-04,Monthly,1,8
523,262677,2022-06-04,Monthly,1,8
524,262677,2022-07-04,Monthly,1,8
525,262677,2022-08-07,Monthly,1,8
526,262677,2022-09-04,Monthly,1,8
527,262714,2022-02-20,Quarterly,1,2
528,262714,2022-05-20,Quarterly,1,2
529,262726,2022-02-09,Annual,1,1
530,262738,2022-02-07,Annual,1,1
531,262750,2022-02-05,Monthly,1,2
532,262750,2022-03-05,Monthly,1,2
533,262754,2022-02-05,Annual,1,1
534,262761,2022-03-22,Annual,1,1
535,262784,2022-02-05,Annual,1,1
536,262792,2022-02-05,Monthly,1,3
537,262792,2022-03-05,Monthly,1,3
538,262792,2022-04-05,Monthly,1,3
539,262817,2022-02-06,Annual,1,1
540,262819,2022-02-10,Annual,1,1
541,262821,2022-02-06,Monthly,1,5
542,262821,2022-03-06,Monthly,1,5
543,262821,2022-04-06,Monthly,1,5
544,262821,2022-05-06,Monthly,1,5
545,262821,2022-05-26,Annual,1,5
546,262826,2022-02-06,Annual,1,1
547,262861,2022-02-06,Annual,1,1
548,262908,2022-02-07,Monthly,1,2
549,262908,2022-03-11,Monthly,1,2
550,262944,2022-02-07,Annual,1,1
551,262955,2022-02-07,Annual,1,1
552,262967,2022-02-07,Monthly,1,1
553,262973,2022-02-09,Quarterly,1,1
554,262988,2022-02-09,Annual,1,1
555,262992,2022-02-07,Monthly,1,3
556,262992,2022-03-07,Monthly,1,3
557,262992,2022-04-07,Monthly,1,3
558,263000,2022-02-07,Annual,1,1
559,263008,2022-03-30,Annual,1,1
560,263065,2022-02-08,Annual,1,1
561,263076,2022-02-09,Monthly,1,9
562,263076,2022-03-09,Monthly,1,9
563,263076,2022-04-09,Monthly,1,9
564,263076,2022-05-09,Monthly,1,9
565,263076,2022-06-09,Monthly,1,9
566,263076,2022-07-09,Monthly,1,9
567,263076,2022-08-09,Monthly,1,9
568,263076,2022-09-09,Monthly,1,9
569,263076,2022-10-09,Monthly,1,9
570,263087,2022-02-11,Annual,1,1
571,263104,2022-02-08,Monthly,1,5
572,263104,2022-03-08,Monthly,1,5
573,263104,2022-04-08,Monthly,1,5
574,263104,2022-05-08,Monthly,1,5
575,263104,2022-06-12,Monthly,1,5
576,263112,2022-02-08,Monthly,1,2
577,263112,2022-03-08,Monthly,1,2
578,263118,2022-02-08,Annual,1,1
579,263120,2022-02-08,Annual,1,1
580,263126,2022-02-08,Monthly,1,1
581,263146,2022-02-10,Annual,1,1
582,263210,2022-02-10,Monthly,1,4
583,263210,2022-03-10,Monthly,1,4
584,263210,2022-04-10,Monthly,1,4
585,263210,2022-05-10,Monthly,1,4
586,263216,2022-02-09,Annual,1,1
587,263231,2022-02-12,Annual,1,1
588,263252,2022-03-31,Annual,1,1
589,263293,2022-02-16,Annual,1,1
590,263296,2022-02-10,Annual,1,1
591,263300,2022-02-12,Annual,1,1
592,263307,2022-05-04,Annual,1,1
593,263309,2022-05-28,Annual,1,1
594,263321,2022-02-11,Annual,1,1
595,263363,2022-02-15,Annual,1,1
596,263364,2022-02-13,Monthly,1,1
597,263368,2022-02-13,Annual,1,1
598,263388,2022-02-18,Annual,1,1
599,263392,2022-02-11,Annual,1,1
600,263453,2022-03-30,Annual,1,1
601,263456,2022-05-29,Annual,1,1
602,263472,2022-02-12,Annual,1,1
603,263479,2022-02-15,Monthly,1,2
604,263479,2022-03-15,Monthly,1,2
605,263480,2022-02-13,Monthly,1,2
606,263480,2022-03-13,Monthly,1,2
607,263481,2022-02-14,Monthly,1,4
608,263481,2022-03-14,Monthly,1,4
609,263481,2022-04-14,Monthly,1,4
610,263481,2022-05-14,Monthly,1,4
611,263483,2022-02-13,Monthly,1,9
612,263483,2022-03-13,Monthly,1,9
613,263483,2022-04-14,Monthly,1,9
614,263483,2022-05-13,Monthly,1,9
615,263483,2022-06-13,Monthly,1,9
616,263483,2022-07-13,Monthly,1,9
617,263483,2022-08-13,Monthly,1,9
618,263483,2022-09-13,Monthly,1,9
619,263483,2022-10-13,Monthly,1,9
620,263494,2022-02-15,Annual,1,1
621,263496,2022-02-19,Annual,1,1
622,263497,2022-02-20,Annual,1,1
623,263501,2022-02-14,Annual,1,1
624,263529,2022-03-12,Annual,1,1
625,263531,2022-02-13,Annual,1,1
626,263535,2022-02-13,Annual,1,1
627,263536,2022-02-15,Monthly,1,1
628,263545,2022-02-13,Annual,1,1
629,263551,2022-02-14,Monthly,1,1
630,263564,2022-02-13,Annual,1,1
631,263579,2022-03-31,Annual,1,1
632,263639,2022-02-14,Annual,1,1
633,263648,2022-02-17,Annual,1,1
634,263650,2022-02-20,Annual,1,1
635,263661,2022-02-26,Annual,1,1
636,263672,2022-02-14,Annual,1,2
637,263672,2022-02-14,Monthly,1,2
638,263677,2022-03-02,Annual,1,1
639,263683,2022-02-26,Annual,1,1
640,263690,2022-02-15,Monthly,1,8
641,263690,2022-03-15,Monthly,1,8
642,263690,2022-04-15,Monthly,1,8
643,263690,2022-05-15,Monthly,1,8
644,263690,2022-06-15,Monthly,1,8
645,263690,2022-07-15,Monthly,1,8
646,263690,2022-08-15,Monthly,1,8
647,263690,2022-09-15,Monthly,1,8
648,263692,2022-02-14,Annual,1,1
649,263693,2022-03-07,Monthly,1,4
650,263693,2022-04-07,Monthly,1,4
651,263693,2022-05-07,Monthly,1,4
652,263693,2022-06-07,Monthly,1,4
653,263706,2022-02-21,Annual,1,1
654,263759,2022-02-15,Annual,1,1
655,263776,2022-02-15,Annual,1,1
656,263783,2022-02-15,Monthly,1,4
657,263783,2022-03-15,Monthly,1,4
658,263783,2022-09-15,Monthly,1,4
659,263783,2022-10-15,Monthly,1,4
660,263786,2022-02-20,Monthly,1,1
661,263791,2022-02-16,Monthly,1,3
662,263791,2022-03-16,Monthly,1,3
663,263791,2022-04-16,Monthly,1,3
664,263798,2022-02-16,Annual,1,1
665,263825,2022-08-28,Monthly,1,2
666,263825,2022-09-28,Monthly,1,2
667,263842,2022-02-16,Annual,1,1
668,263845,2022-03-10,Monthly,1,2
669,263845,2022-04-10,Monthly,1,2
670,263859,2022-02-20,Annual,1,1
671,263888,2022-05-18,Quarterly,1,1
672,263913,2022-02-17,Monthly,1,9
673,263913,2022-03-17,Monthly,1,9
674,263913,2022-04-17,Monthly,1,9
675,263913,2022-05-17,Monthly,1,9
676,263913,2022-06-17,Monthly,1,9
677,263913,2022-07-17,Monthly,1,9
678,263913,2022-08-17,Monthly,1,9
